id,title,artist,emoji,choices_json,answer_idx,preview_1s_url,preview_3s_url,preview_5s_url,context_hint,facts_json,pack,year,tv_movie_ref,spotify_url
sp_0000,Wannabe,Spice Girls,🎵✨🎧,"[""I'm Like A Bird — Nelly Furtado"", ""All or Nothing — O-Town"", ""The Game of Love (feat. Michelle Branch) - Main / Radio Mix — Santana, Michelle Branch"", ""Wannabe — Spice Girls""]",3,,,,From 'Spice' (1996),"[""From album: Spice"", ""Release year: 1996"", ""Spotify popularity: 82/100""]",Playlist Import,1996,,https://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT
sp_0001,Spice Up Your Life,Spice Girls,🎵✨,"[""Never Had A Dream Come True — S Club"", ""Pop — *NSYNC"", ""Spice Up Your Life — Spice Girls"", ""Thinking of You (I Drive Myself Crazy) — *NSYNC""]",2,,,,From 'Spiceworld' (1997),"[""From album: Spiceworld"", ""Release year: 1997"", ""Spotify popularity: 67/100""]",Playlist Import,1997,,https://open.spotify.com/track/5qGwqO0lkbBXw4xNfzT7SF
sp_0002,Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,🎵✨,"[""Come on over Baby (All I Want Is You) - Radio Version — Christina Aguilera"", ""If You Come Back — Blue"", ""Eternal Flame - Single Version — Atomic Kitten"", ""The Hardest Thing - Original Version — 98º""]",0,,,,From 'Christina Aguilera (Expanded Edition)' (1999),"[""From album: Christina Aguilera (Expanded Edition)"", ""Release year: 1999"", ""Spotify popularity: 64/100""]",Playlist Import,1999,,https://open.spotify.com/track/7A0apkTSTvMbSI7yplcmlh
sp_0003,What a Girl Wants,Christina Aguilera,🎵✨🎧,"[""What a Girl Wants — Christina Aguilera"", ""Eternal Flame - Single Version — Atomic Kitten"", ""The Game of Love (feat. Michelle Branch) - Main / Radio Mix — Santana, Michelle Branch"", ""What You Do About Me — M2M""]",0,,,,From 'Christina Aguilera (Expanded Edition)' (1999),"[""From album: Christina Aguilera (Expanded Edition)"", ""Release year: 1999"", ""Spotify popularity: 67/100""]",Playlist Import,1999,,https://open.spotify.com/track/5bGmuxShUba9maPswDnhCs
sp_0004,Genie In a Bottle,Christina Aguilera,🎵✨,"[""It's Gonna Be Me — *NSYNC"", ""Sometimes — Britney Spears"", ""The Hardest Thing - Original Version — 98º"", ""Genie In a Bottle — Christina Aguilera""]",3,,,,From 'Christina Aguilera (Expanded Edition)' (1999),"[""From album: Christina Aguilera (Expanded Edition)"", ""Release year: 1999"", ""Spotify popularity: 79/100""]",Playlist Import,1999,,https://open.spotify.com/track/11mwFrKvLXCbcVGNxffGyP
sp_0005,(You Drive Me) Crazy,Britney Spears,🚗,"[""The Tide Is High - Radio Mix — Atomic Kitten"", ""Don't Say You Love Me — M2M"", ""Show Me Your Colours — S Club"", ""(You Drive Me) Crazy — Britney Spears""]",3,,,,From '...Baby One More Time (Digital Deluxe Version)' (1999),"[""From album: ...Baby One More Time (Digital Deluxe Version)"", ""Release year: 1999"", ""Spotify popularity: 69/100""]",Playlist Import,1999,,https://open.spotify.com/track/1DSJNBNhGZCigg9ll5VeZv
sp_0006,...Baby One More Time,Britney Spears,🎵✨,"[""World of Our Own — Westlife"", ""U Make Me Wanna — Blue"", ""The Tide Is High - Radio Mix — Atomic Kitten"", ""...Baby One More Time — Britney Spears""]",3,,,,From '...Baby One More Time (Digital Deluxe Version)' (1999),"[""From album: ...Baby One More Time (Digital Deluxe Version)"", ""Release year: 1999"", ""Spotify popularity: 82/100""]",Playlist Import,1999,,https://open.spotify.com/track/3MjUtNVVq3C8Fn0MP3zhXa
sp_0007,Sometimes,Britney Spears,🎵✨🎧,"[""Spice Up Your Life — Spice Girls"", ""Never Had A Dream Come True — S Club"", ""Sometimes — Britney Spears"", ""Show Me Your Colours — S Club""]",2,,,,From '...Baby One More Time (Digital Deluxe Version)' (1999),"[""From album: ...Baby One More Time (Digital Deluxe Version)"", ""Release year: 1999"", ""Spotify popularity: 71/100""]",Playlist Import,1999,,https://open.spotify.com/track/1UI0l2L66HJ9AtoEOlHzv4
sp_0008,Oops!...I Did It Again,Britney Spears,🎵✨,"[""Thinking of You (I Drive Myself Crazy) — *NSYNC"", ""Oops!...I Did It Again — Britney Spears"", ""Show Me Your Colours — S Club"", ""When It's Over - Remastered — Sugar Ray""]",1,,,,From 'Oops!... I Did It Again' (2000),"[""From album: Oops!... I Did It Again"", ""Release year: 2000"", ""Spotify popularity: 83/100""]",Playlist Import,2000,,https://open.spotify.com/track/6naxalmIoLFWR0siv8dnQQ
sp_0009,Bye Bye Bye,*NSYNC,🎵✨,"[""Bye Bye Bye — *NSYNC"", ""The Game of Love (feat. Michelle Branch) - Main / Radio Mix — Santana, Michelle Branch"", ""Everywhere — Michelle Branch"", ""Breathe — Michelle Branch""]",0,,,,From 'No Strings Attached' (2000),"[""From album: No Strings Attached"", ""Release year: 2000"", ""Spotify popularity: 81/100""]",Playlist Import,2000,,https://open.spotify.com/track/62bOmKYxYg7dhrC6gH9vFn
